int_no,rue_1,rue_2,street_1,street_2,date_,all_pedest,pi,fi,fli,fri,fti,cli,cri,cti,acc,ln_pi,ln_fi,ln_fli,ln_fri,ln_fti,ln_cli,ln_cri,ln_cti,tot_crossw,number_of_,avg_crossw,tot_road_w,median,green_stra,half_phase,any_ped_pr,ped_countd,lt_protect,lt_restric,lt_prot_re,parking,north_veh,north_ped,east_veh,east_ped,south_veh,south_ped,west_veh,west_ped,total_lane,of_exclusi,any_exclus,commercial,curb_exten,all_red_an,new_half_r,distdt,ln_distdt,traffic_10000,ped_100,borough,X,X.1,node_id,geometry
1236,Meulles,Salaberry,Meulles,Salaberry,25/11/2008,0,882.890014648438,17381.587890625,518.262451171875,356.305450439453,16507.01953125,135517.296875,76493.9609375,9761494,0,6.78320121765137,9.76316738128662,6.25048208236694,5.87578821182251,9.71154117584229,11.816855430603,11.2449674606323,16.0939559936523,51.0999984741211,3,17,45.2999992370605,0,0,1,1,0,1,1,1,1,0,74.5404357910156,8544.1328125,210.369674682617,266.329315185547,216.995483398438,8571.125,380.984436035156,6,0,0,0,0,0,1,11344.044921875,9.33644866943359,1.73815882205963,8.82890033721924,Ahuntsic-Cartierville,NA,,221,"c(288319.3125, 5043268)"
1254,Dudemaine,Pasteur,Dudemaine,Pasteur,22/09/2004,0,675.251342773438,8739.580078125,445.165954589844,823.812866210938,7470.60107421875,74028.6328125,142084.25,2478305.25,0,6.51508522033691,9.07561683654785,6.0984468460083,6.71394300460815,8.91873073577881,11.2122068405151,11.8641757965088,14.7230863571167,62.7999992370605,4,15.6999998092651,51.5999984741211,0,0,0,0,0,0,0,0,1,583.320922851562,183.179885864258,3638.08032226562,229.872787475586,547.5029296875,161.629302978516,3970.67553710938,100.569343566895,4,0,0,1,0,0,0,10103.8505859375,9.22067165374756,0.873957991600037,6.75251340866089,Ahuntsic-Cartierville,NA,,354,"c(289907.6875, 5044078.5)"
1253,Dudemaine,James-Morrice,Dudemaine,James-Morrice,17/09/2004,0,594.722534179688,10947.9716796875,1356.84423828125,1408.63220214844,8182.49560546875,224893.453125,242799.21875,2472278.5,0,6.38809490203857,9.30090999603271,7.2129168510437,7.25037384033203,9.00975227355957,12.3233823776245,12.3999900817871,14.7206506729126,61.2000007629395,4,15.3000001907349,53.7999992370605,0,0,0,0,0,0,0,0,1,2159.55737304688,210.553939819336,3614.798828125,121.89965057373,1149.6923828125,77.572509765625,4023.92358398438,184.696441650391,4,0,0,0,0,0,0,10199.9404296875,9.23013687133789,1.09479713439941,5.94722557067871,Ahuntsic-Cartierville,NA,,355,"c(289723, 5043874.5)"
1395,Henri-Bourassa,Marcelin-Wilson,Henri-Bourassa,Marcelin-Wilson,09/03/2004,0,1030.71875,38385.9375,2655.99389648438,3343.61303710938,32386.330078125,783966.1875,897182,18800794,0,6.93801212310791,10.5554456710815,7.8845739364624,8.11480712890625,10.3854923248291,13.5721206665039,13.7070140838623,16.7494106292725,99.5999984741211,4,24.8999996185303,81,1,0,1,1,1,0,0,0,0,1569.45104980469,201.579696655273,15872.9755859375,258.630554199219,2330.55590820312,247.22038269043,18612.953125,323.288177490234,8,0,0,2,0,0,1,9304.0771484375,9.13820838928223,3.83859372138977,10.3071870803833,Ahuntsic-Cartierville,NA,,393,"c(290772.625, 5044064)"
1737,Birnam,Sauvé,Birnam,SauvÚ,06/10/2004,0,364.2822265625,37480.76953125,5754.24609375,4473.283203125,27253.240234375,475778.96875,347624.40625,5426545,0,5.89792919158936,10.5315828323364,8.65769290924072,8.4058780670166,10.2129278182983,13.0727090835571,12.7588777542114,15.5068130493164,83.8000030517578,4,21,68.8000030517578,1,0,0,0,1,1,0,1,0,353.021240234375,88.1946487426758,16566.783203125,69.0218963623047,2415.673828125,76.6909942626953,18145.291015625,130.374694824219,7,3,1,3,0,0,0,8306.1494140625,9.02475166320801,3.74807691574097,3.642822265625,Ahuntsic-Cartierville,NA,,484,"c(291888.90625, 5044077)"
1250,Acadie,Port-Royal,Acadie,Port-Royal,01/10/2004,0,985.905578613281,47219.07421875,4685.66748046875,2919.60986328125,39613.796875,347246.90625,1944188.125,3096236.25,0,6.89356088638306,10.7625532150269,8.45226383209229,7.97920513153076,10.5869331359863,12.7577905654907,14.4803552627563,14.9456977844238,75,3,25,66.0999984741211,1,0,1,1,1,0,1,1,0,21881.76171875,63.097957611084,4481.4990234375,910.976745605469,20427.060546875,11.8308668136597,428.75390625,0,7,1,1,2,0,0,1,8148.69287109375,9.00561237335205,4.72190761566162,9.859055519104,Ahuntsic-Cartierville,NA,,520,"c(292005.8125, 5043960.5)"
1239,Acadie,Chabanel,Acadie,Chabanel,07/10/2004,0,1435.65625,119594.5703125,39538.19140625,40174.94140625,39881.4375,16828238,16221448,28628020,1,7.2693772315979,11.6918630599976,10.5850219726562,10.600998878479,10.5936660766602,16.6385688781738,16.6018447875977,17.1698951721191,108.599998474121,4,27.1000003814697,87.4000015258789,1,0,0,0,1,1,0,1,0,32409.576171875,576.553466796875,29673.541015625,408.551116943359,26768.369140625,141.274688720703,30743.08203125,309.277038574219,8,3,1,3,0,0,0,7580.52783203125,8.9333381652832,11.9594573974609,14.3565626144409,Ahuntsic-Cartierville,NA,,521,"c(292527.09375, 5043731.5)"
1251,Bois-de-Boulogne,Henri-Bourassa,Bois-de-Boulogne,Henri-Bourassa,12/01/2004,0,2265.31713867188,43953.2265625,5603.408203125,5645.31396484375,32704.505859375,3297610.5,3923447.25,31371374,0,7.72547006607056,10.6908807754517,8.63113021850586,8.63858127593994,10.3952684402466,15.0087089538574,15.1824808120728,17.2614059448242,96.5999984741211,4,24.2000007629395,89.6999969482422,1,1,1,1,1,1,0,1,0,2382.64575195312,902.287292480469,19516.142578125,527.93408203125,4016.97314453125,422.347259521484,18037.466796875,412.748443603516,8,2,1,4,0,0,1,9306.9404296875,9.13851547241211,4.39532279968262,22.6531715393066,Ahuntsic-Cartierville,NA,,525,"c(290851.84375, 5044241)"
1731,Acadie,Salaberry,Acadie,Salaberry,16/09/2004,0,2056.47631835938,24423.8671875,7025.8369140625,4658.65478515625,12739.3759765625,4301686,1565611.5,13054868,2,7.62874889373779,10.1033163070679,8.85735034942627,8.44648170471191,9.45245265960693,15.2745180130005,14.2637872695923,16.384672164917,90.5,4,22.6000003814697,79.6999969482422,1,1,0,1,1,1,0,1,0,3447.30346679688,754.637390136719,4244.7763671875,354.071563720703,9261.7890625,307.577301025391,7469.9990234375,640.190002441406,5,2,1,0,0,0,0,10653.09375,9.27360534667969,2.44238662719727,20.5647640228271,Ahuntsic-Cartierville,NA,,542,"c(289514.34375, 5044555)"
1245,Acadie,Louisbourg,Acadie,Louisbourg,23/09/2004,0,3140.14990234375,17897.712890625,1615.13488769531,1085.16870117188,15197.41015625,1376377.125,934294.4375,25734606,0,8.05202579498291,9.7924280166626,7.38717412948608,6.98949098587036,9.62887954711914,14.1349649429321,13.7475471496582,17.063346862793,118.699996948242,4,29.7000007629395,72.9000015258789,1,1,0,1,1,0,0,0,1,7787.978515625,604.425170898438,716.716125488281,675.954772949219,8731.8232421875,1094.40295410156,661.195861816406,765.366821289062,7,0,0,0,0,0,0,10333.298828125,9.24312686920166,1.78977131843567,31.4014987945557,Ahuntsic-Cartierville,NA,,543,"c(289798.53125, 5044407)"
