node_id_start,node_id_end,segment_length
23,105,182.936846990854
52,185,325.006636477111
101,102,168.86115356757
165,27243,72.7673669892632
165,27243,75.3833863864988
185,205,323.081933519536
221,121,226.117731409116
354,355,275.438864384879
484,22632,89.5988922577278
520,22632,137.245286122313
521,22634,300.647397958414
525,393,195.670849854563
543,542,322.962661733362
558,22631,202.632621312637
687,579,261.150267097962
687,913,325.948901308968
718,737,225.502609080959
734,629,199.252286520114
737,734,229.568178636134
833,834,259.822281832776
833,874,72.0197807928146
834,835,259.509041980379
834,910,73.3159365785264
835,843,74.5607587811636
835,921,259.55086331656
843,911,260.057576987784
854,855,140.490796127121
855,21663,190.726054089623
856,857,213.504713690562
857,816,285.108692352794
857,858,243.670035680907
858,847,238.025102251295
861,21604,195.664826173539
874,910,259.441736298058
877,945,264.500433911555
910,843,260.161638726985
921,911,75.8941880853931
945,946,259.631371661065
946,923,259.991895488137
986,987,282.231467058694
986,29652,81.4039714666008
987,988,259.685560651701
987,1095,84.4555092840508
988,989,260.216657600462
988,1017,84.7865846136363
989,1096,85.2826671576219
990,991,243.101124049228
991,1055,82.3084457905141
1017,1096,260.587667652787
1018,1128,259.43106795832
1024,1132,260.318830036942
1084,1058,77.8491884673354
1095,1017,259.842334924212
1096,22630,262.564585963033
1132,1159,162.401568717326
1141,1018,260.733117562502
1143,1024,259.626026144231
1146,1141,258.323801394903
1148,1143,261.086404828802
1167,1084,184.706277589685
1264,1265,187.204371132358
1269,1270,188.959509829779
1280,1281,264.749568026151
1318,1319,183.840498260211
1319,22762,185.106302301938
1389,21306,215.68434046887
1438,1439,115.15773316785
1458,1471,276.087430397836
1510,1458,273.129368610975
1530,1543,50.95476659435
1540,1575,239.388187798182
1543,1578,232.854120981639
1557,1634,276.193373739398
1618,1707,52.8717379019756
1641,1540,44.9569762044988
1707,1402,280.354237314139
1708,1618,222.15243918762
1730,1813,264.099561396473
1744,1800,322.290239493762
1752,1730,115.914205083509
1760,1390,45.9957130916588
1762,1394,50.3505281448555
1771,1801,211.922339370054
1800,1771,216.079750382668
1801,1802,212.164626042024
1802,1803,212.425937343536
1813,1845,112.436635441217
1881,1956,325.916006259648
1885,1957,328.523837859276
1887,1958,326.524776478039
1916,1917,315.860278460926
1917,1979,379.548839107099
1938,1961,259.819651939351
1951,1437,123.626029035162
1951,1437,125.067380422464
1951,21614,75.4889992251823
1954,1944,106.017814862078
1956,1938,321.16159235588
1957,1939,219.561650085379
1961,1973,113.194166630154
1969,1951,247.612193594053
1973,1974,147.115720505188
1974,1950,262.101130824492
1995,2077,64.6528685698215
2040,2076,87.0442879584918
2063,2097,258.883390827568
2064,2091,259.165029530387
2066,2103,258.809883776643
2076,1995,71.1583924613584
2076,2063,265.175017696134
2077,2064,265.689032432851
2079,2114,186.788349291835
2091,2025,244.247137659909
2114,2093,181.83372165597
2121,2066,261.181658528426
2126,22739,214.586349363118
2150,1916,102.026202009554
2167,2198,247.448472304218
2169,2170,82.1722986382323
2179,2180,275.47718025636
2179,2201,83.122374166147
2180,2250,82.7417794865121
2198,2246,232.434576168687
2199,2254,240.223048648331
2201,2250,277.03779507536
2215,2076,260.784297472006
2216,2077,259.483033441311
2218,2079,195.498479325973
2220,24891,54.1851480871749
2224,2167,243.439957988999
2227,2170,188.856996654949
2246,2215,263.147307916969
2253,2212,262.792535092254
2294,2341,321.134696117261
2308,2313,65.127989591998
2310,2315,65.6042523369613
2333,2348,161.187654568714
2341,2349,161.719864351215
2349,2356,321.446638084387
2356,2280,262.759384883094
2384,2396,83.6942403120093
2390,2486,321.35173172215
2392,2393,92.5306722828497
2392,2445,322.062824467279
2393,2489,321.282737999095
2396,2397,73.9258551661051
2397,2447,268.593288051928
2411,2224,234.732591330545
2413,2414,92.2678644013995
2414,2227,293.071751259927
2422,2390,290.948545193615
2424,2392,290.877270701232
2424,2425,92.3333857486961
2425,2393,291.063018618023
2428,2429,313.394206896747
2428,2541,100.683333286996
2429,2430,292.088863991957
2429,2525,100.539429455297
2430,2431,321.32079724904
2430,2509,101.129763539066
2431,2542,100.65848195554
2444,2424,319.539198313796
2445,2413,320.374502116855
2445,2489,92.2112579707282
2448,2186,273.043310004774
2453,2411,104.228854435106
2453,24891,219.040155655928
