geometry,node.id,deg_unweighted,betweenes_unweighted,closeness_unweighted,eigcentrality_unweighted,eccentricity_unweighted,harmonic_unweighted,deg_weighted,betweenes,closeness,eigcentrality,eccentricity,harmonic
"c(294271.524093147, 5046095.78089317)",856,4,252198.48782341537,4.985994341893621e-7,1.7706688296087805e-5,147,655.9744882814706,539.5049092065033,2171436,2.5251504064536063e-9,0,33383.77624783432,3.9696400797665743
"c(294073.567130324, 5046175.76388578)",857,4,6635953.260482247,5.000625078134767e-7,1.649167177456275e-5,147,666.8391830970623,754.4435617222889,8265858,2.534253873780477e-9,0,33170.27153414375,3.9532548952666113
"c(293847.627307752, 5046267.01015235)",858,4,667258.153690505,4.924490327562323e-7,9.16323687675479e-6,148,650.7755197726071,623.7707313556643,8273591,2.522305166274311e-9,0,32926.60149846285,3.9286589589349967
"c(293758.139137213, 5044731.33014895)",861,4,527285.1688801539,4.945627768315143e-7,1.0350380860604841e-4,147,633.431479894093,317.1667984647276,4248417,2.6603366302972647e-9,0,31901.702813206288,4.423365483860824
"c(293712.801164256, 5045306.10704991)",874,4,344173.75155330927,4.956219237366722e-7,7.785931488181294e-5,149,654.697563735463,598.342480630512,23083400,2.6075369027920416e-9,0,32255.772598256288,4.064103737059943
"c(293852.590150967, 5045638.91398703)",877,4,3420330.364455122,5.171606844104497e-7,4.5516369531346606e-5,145,694.7929636931997,644.3153477755948,8455653,2.5836195554966334e-9,0,32616.088533598184,3.9838914007913466
"c(293473.302209339, 5045405.85804043)",910,4,376283.620027046,4.921073364838045e-7,5.915264915233154e-5,149,647.2414349058163,657.3252923084442,1591147,2.593434310612291e-9,0,31997.246472209223,3.972541034050344
"c(292993.021094733, 5045605.75262145)",911,4,432015.3338792942,4.784210574157895e-7,2.5860458931974772e-5,151,623.7012694845562,557.5705934711232,2181839,2.571063962582956e-9,0,31480.764818419153,3.9231907065682234
"c(293370.950218933, 5045157.84408723)",913,3,793471.9266360523,4.983747997779242e-7,1.0879153898842899e-5,146,646.4086189101023,526.3181835575137,1293012,2.606613513951226e-9,0,31775.011430272836,3.9588769532352845
"c(292964.292152405, 5045535.5082347)",921,4,1404300.2785958701,4.80317316832192e-7,1.917501285662436e-5,150,624.1335803291306,587.5405632092865,15882081,2.575652660497885e-9,0,31404.870630333757,3.9114180724332277
"c(293125.598287497, 5045932.73695985)",923,5,3402257.314831751,4.942689515072732e-7,1.3481840820228688e-5,148,654.039972169657,977.6237593344706,1883092,2.5485029474409622e-9,0,31833.624784235788,3.8683108296099182
"c(293607.336197027, 5045737.96397788)",945,3,2688160.2674515215,5.092331610597549e-7,2.705171103543599e-5,146,677.5861140316766,609.0862859118175,710758,2.5697311113822272e-9,0,32353.24805138499,3.88933527765035
"c(293366.615242233, 5045835.23596888)",946,3,3008937.4972866154,5.015374630931119e-7,1.806283277192888e-5,147,663.4941753526792,604.5554524722437,718237,2.5580018553693715e-9,0,32093.616679723924,3.8450862011862363
"c(292625.854365913, 5045670.85602228)",986,5,2073786.686360258,4.658256340119792e-7,1.050146764572543e-6,152,607.651515841734,756.3033442354118,24950968,2.563551374766694e-9,0,31040.21399586002,3.933841670050875
"c(292364.082415045, 5045775.9210126)",987,4,1040431.3312613192,4.594564171129137e-7,6.74481998535297e-7,153,595.7243648827377,724.1804272666488,169533,2.528820529458604e-9,0,31179.89269237821,3.767065077950299
"c(292124.138460176, 5045875.22800321)",988,4,766428.8084986462,4.5311977496259497e-7,5.718399398395753e-7,154,584.5363852094978,701.0573934309231,3968826,2.5175854377647067e-9,0,30920.20713172651,3.736178095566857
"c(291883.748905394, 5045974.85204377)",989,4,593065.384598856,4.470436556011441e-7,5.504926160501783e-7,155,573.3985663257001,703.5767492179889,218900,2.4976076325969443e-9,0,30659.990474126043,3.6466995682666115
"c(291626.033553848, 5046081.06598376)",990,4,440672.9158720558,4.3574047994199423e-7,6.266452679329856e-7,157,554.3931138511464,438.34334208438077,10598206,2.485610193393101e-9,0,30398.77261914098,3.711533559981641
"c(291401.419596088, 5046174.04897495)",991,6,361600.6143355537,4.3014027304444254e-7,7.639443156169205e-7,158,544.4440857771139,778.2295040642668,19552945,2.4558233028320755e-9,0,30641.87374319021,3.5779809282413177
"c(292156.869457069, 5045953.43998844)",1017,4,256859.27202278125,4.4993707629987947e-7,4.428053165365652e-7,155,580.5640118475465,689.64323048347,4108117,2.5129636651257303e-9,0,31004.993716340145,3.7396428127964905
"c(292291.949444342, 5046279.01592702)",1018,4,1071440.7599754026,4.609633211485362e-7,2.3120054022374807e-7,153,595.2147545438677,694.2552479363239,4412338,2.4933682870832918e-9,0,31357.49004742564,3.708887980244984
"c(292514.828423274, 5046813.85482608)",1024,4,634226.4853268337,4.355634034401669e-7,8.063483730169205e-8,157,555.5416388198373,693.9197222889547,4224278,2.4522691234020033e-9,0,31907.942408347542,3.664037241744299
"c(291438.03359215, 5046247.68096086)",1055,5,41830.53626592028,4.25294473893724e-7,6.115728640940568e-7,159,532.9930925071837,288.878084256786,55151,2.4514718199163764e-9,0,30722.746235273404,3.6665022990162632
"c(291670.295561366, 5046539.78390207)",1058,4,184279.5872695764,4.3738390191053663e-7,6.479000697042498e-8,157,553.0848279308115,555.2415535040091,19428992,2.448453981199598e-9,0,30926.343007909843,3.58917418119646
"c(291741.962547864, 5046509.38590501)",1084,4,642057.2474221853,4.433231324680552e-7,1.122106836468798e-7,156,566.3261324399401,369.10066548214985,15674768,2.459367051499615e-9,0,30848.49381944251,3.6780464167428355
"c(292396.834411923, 5045853.7669979)",1095,4,367625.6205329548,4.5618440068318175e-7,5.153469172939227e-7,154,591.6128183309617,712.0066186522514,278273,2.524173483724287e-9,0,31264.348201662262,3.7738691235348907
"c(291916.327567333, 5046053.6666289)",1096,3,232250.11446200812,4.4394544975891543e-7,3.672856801988942e-7,156,569.1110333195483,608.4349207734421,226407,2.4930307897765752e-9,0,30745.273141283662,3.6345203022607113
"c(292052.615594387, 5046379.13479246)",1128,3,869876.9905425402,4.547310674993702e-7,1.3731160000078164e-7,154,583.2076600166823,663.7334007496106,359042,2.4758227705371694e-9,0,31179.151819079085,3.611292163443756
"c(292274.594603477, 5046914.08624154)",1132,4,373640.07129697484,4.2999064340359956e-7,8.127449723420229e-8,158,546.1491055812235,595.9252639538654,789021,2.4379140637799393e-9,0,31647.6235783106,3.619240563463673
"c(292532.335399081, 5046178.03993668)",1141,4,1419974.7971015049,4.674507061544093e-7,3.3696578560655377e-7,152,606.6340945025066,693.8424987736508,610877,2.5046716871925052e-9,0,31614.440316891898,3.749151634791632
"c(292754.404378189, 5046713.81083561)",1143,4,1143580.821770926,4.413615828285628e-7,6.842511448439703e-8,156,565.328382077537,694.9298611566242,789884,2.461938732911345e-9,0,32167.56843449177,3.7124660742018443
"c(292770.758354212, 5046078.61594614)",1146,4,2758240.606101619,4.7394847421767693e-7,5.209522908535273e-7,151,618.3017487572191,621.2399635182973,9885238,2.536062853125155e-9,0,31475.23522337261,3.864647750935578
"c(292995.183332862, 5046612.85784525)",1148,4,1793287.923702731,4.4731701491041804e-7,5.1261416987991735e-8,155,575.5497323871055,511.2925213997445,10148196,2.4914469892891443e-9,0,32054.72385378495,3.850967197349339
"c(292124.908836655, 5046977.00446052)",1159,4,317132.6013223296,4.2482273209446527e-7,7.003888915595928e-8,159,537.8962510902103,379.5169320202632,9761513,2.4305538893541273e-9,0,31485.222009593275,3.649173355106023
"c(291723.955254949, 5046327.09858748)",1167,4,423557.83232287737,4.3905518835906635e-7,1.370512417899043e-7,157,560.1322680025156,282.9116556236967,10390441,2.4661823113362727e-9,0,30663.787541852824,3.805876676897489
"c(293821.423231764, 5047901.21159248)",1264,4,1428192.7308479154,4.1057611218910153e-7,6.254522473009289e-10,165,532.8945702984192,611.0510557792562,7276419,2.374422154777379e-9,0,33780.998491432016,3.8788107556077054
